24/04/2023 16:40:01.3,75,0
24/04/2023 16:40:02.3,75,2
24/04/2023 16:40:03.1,75,0
24/04/2023 16:40:04.2,75,0
24/04/2023 16:40:05.0,75,1
24/04/2023 16:40:06.2,75,1
24/04/2023 16:40:07.1,75,1
24/04/2023 16:40:08.1,75,1
24/04/2023 16:40:09.2,75,1
24/04/2023 16:40:10.2,75,1
24/04/2023 16:40:11.1,75,1
24/04/2023 16:40:12.2,75,1
24/04/2023 16:40:13.7,75,1
24/04/2023 16:40:14.2,75,2
24/04/2023 16:40:15.1,75,0
24/04/2023 16:40:16.3,75,1
24/04/2023 16:40:17.1,75,32
24/04/2023 16:40:18.3,75,2
24/04/2023 16:40:19.2,75,0
24/04/2023 16:40:20.2,75,1
24/04/2023 16:40:21.0,75,0
24/04/2023 16:41:18.0,75,0
24/04/2023 16:41:19.5,75,1
24/04/2023 16:41:20.5,75,4
24/04/2023 16:41:21.3,75,2
24/04/2023 16:42:24.0,75,0
24/04/2023 16:42:25.3,75,5
24/04/2023 16:42:26.9,75,9
24/04/2023 16:42:27.6,75,5
24/04/2023 16:42:39.0,75,0
24/04/2023 16:42:40.5,75,2
24/04/2023 16:42:41.5,75,2
24/04/2023 16:42:42.8,75,1
24/04/2023 16:42:43.2,75,0
24/04/2023 16:42:44.1,75,1
24/04/2023 16:42:45.1,75,3
24/04/2023 16:42:46.2,75,1
24/04/2023 16:42:47.1,75,0
24/04/2023 16:42:48.3,75,3
24/04/2023 16:42:49.4,75,3
24/04/2023 16:43:11.0,75,0
24/04/2023 16:43:12.2,75,1
24/04/2023 16:43:13.2,75,7
24/04/2023 16:43:14.2,75,1
24/04/2023 16:43:16.6,75,5
24/04/2023 16:43:17.2,75,1
24/04/2023 16:43:18.2,75,2
24/04/2023 16:43:19.1,75,2
24/04/2023 16:43:20.2,75,1
24/04/2023 16:43:21.2,75,2
24/04/2023 16:43:22.2,75,1
24/04/2023 16:43:23.2,75,1
24/04/2023 16:43:24.1,75,1
24/04/2023 16:43:25.1,75,1
24/04/2023 16:43:26.1,75,1
24/04/2023 16:43:27.2,75,1
24/04/2023 16:43:28.2,75,1
24/04/2023 16:43:29.1,75,1
24/04/2023 16:43:30.1,75,0
24/04/2023 16:43:31.2,75,2
24/04/2023 16:43:32.1,75,0
24/04/2023 16:43:33.2,75,0
24/04/2023 16:43:34.3,75,1
24/04/2023 16:43:45.1,75,0
24/04/2023 16:43:46.1,75,1
24/04/2023 16:43:47.2,75,5
24/04/2023 16:43:48.1,75,0
24/04/2023 16:43:49.1,75,0
24/04/2023 16:44:27.0,75,0
24/04/2023 16:44:28.6,75,3
24/04/2023 16:45:17.0,75,0
24/04/2023 16:48:41.0,73,0
24/04/2023 16:48:42.1,73,0
24/04/2023 16:48:43.2,73,2
24/04/2023 16:48:44.2,73,3
24/04/2023 16:48:45.5,73,4
24/04/2023 16:48:46.1,73,2
